path,strength,budget,error_amplitude,overhead,distinct_q_across_delays,delay_sensitive
global,0.30000000000000004,500,0.1,16,1,False
global,0.30000000000000004,500,0.3,0,1,False
global,0.30000000000000004,500,0.3,4,1,False
global,0.30000000000000004,500,0.3,16,1,False
global,0.30000000000000004,500,1.0,0,1,False
global,0.30000000000000004,500,1.0,4,1,False
global,0.30000000000000004,500,1.0,16,1,False
global,0.30000000000000004,1000,0.01,0,1,False
global,0.30000000000000004,1000,0.01,4,1,False
global,0.30000000000000004,1000,0.01,16,1,False
global,0.30000000000000004,1000,0.03,0,1,False
global,0.30000000000000004,1000,0.03,4,1,False
global,0.30000000000000004,1000,0.03,16,1,False
global,0.30000000000000004,1000,0.1,0,2,True
global,0.30000000000000004,1000,0.1,4,1,False
global,0.30000000000000004,1000,0.1,16,1,False
global,0.30000000000000004,1000,0.3,0,1,False
global,0.30000000000000004,1000,0.3,4,1,False
global,0.30000000000000004,1000,0.3,16,1,False
global,0.30000000000000004,1000,1.0,0,1,False
global,0.30000000000000004,1000,1.0,4,1,False
global,0.30000000000000004,1000,1.0,16,1,False
global,0.30000000000000004,2000,0.01,0,1,False
global,0.30000000000000004,2000,0.01,4,1,False
global,0.30000000000000004,2000,0.01,16,1,False
global,0.30000000000000004,2000,0.03,0,1,False
global,0.30000000000000004,2000,0.03,4,1,False
global,0.30000000000000004,2000,0.03,16,1,False
global,0.30000000000000004,2000,0.1,0,1,False
global,0.30000000000000004,2000,0.1,4,1,False
global,0.30000000000000004,2000,0.1,16,1,False
global,0.30000000000000004,2000,0.3,0,1,False
global,0.30000000000000004,2000,0.3,4,1,False
global,0.30000000000000004,2000,0.3,16,1,False
global,0.30000000000000004,2000,1.0,0,1,False
global,0.30000000000000004,2000,1.0,4,1,False
global,0.30000000000000004,2000,1.0,16,1,False
global,0.30000000000000004,4000,0.01,0,1,False
global,0.30000000000000004,4000,0.01,4,1,False
global,0.30000000000000004,4000,0.01,16,1,False
global,0.30000000000000004,4000,0.03,0,1,False
global,0.30000000000000004,4000,0.03,4,1,False
global,0.30000000000000004,4000,0.03,16,1,False
global,0.30000000000000004,4000,0.1,0,1,False
global,0.30000000000000004,4000,0.1,4,1,False
global,0.30000000000000004,4000,0.1,16,1,False
global,0.30000000000000004,4000,0.3,0,1,False
global,0.30000000000000004,4000,0.3,4,1,False
global,0.30000000000000004,4000,0.3,16,1,False
global,0.30000000000000004,4000,1.0,0,1,False
global,0.30000000000000004,4000,1.0,4,1,False
global,0.30000000000000004,4000,1.0,16,1,False
global,0.30000000000000004,8000,0.01,0,2,True
global,0.30000000000000004,8000,0.01,4,1,False
global,0.30000000000000004,8000,0.01,16,1,False
global,0.30000000000000004,8000,0.03,0,1,False
global,0.30000000000000004,8000,0.03,4,1,False
global,0.30000000000000004,8000,0.03,16,1,False
global,0.30000000000000004,8000,0.1,0,1,False
global,0.30000000000000004,8000,0.1,4,1,False
global,0.30000000000000004,8000,0.1,16,1,False
global,0.30000000000000004,8000,0.3,0,1,False
global,0.30000000000000004,8000,0.3,4,1,False
global,0.30000000000000004,8000,0.3,16,1,False
global,0.30000000000000004,8000,1.0,0,1,False
global,0.30000000000000004,8000,1.0,4,1,False
global,0.30000000000000004,8000,1.0,16,1,False
global,0.4,250,0.01,0,1,False
global,0.4,250,0.01,4,1,False
global,0.4,250,0.01,16,1,False
global,0.4,250,0.03,0,1,False
global,0.4,250,0.03,4,1,False
global,0.4,250,0.03,16,1,False
global,0.4,250,0.1,0,1,False
global,0.4,250,0.1,4,1,False
global,0.4,250,0.1,16,1,False
global,0.4,250,0.3,0,1,False
global,0.4,250,0.3,4,1,False
global,0.4,250,0.3,16,1,False
global,0.4,250,1.0,0,1,False
global,0.4,250,1.0,4,1,False
global,0.4,250,1.0,16,1,False
global,0.4,500,0.01,0,1,False
global,0.4,500,0.01,4,1,False
global,0.4,500,0.01,16,1,False
global,0.4,500,0.03,0,1,False
global,0.4,500,0.03,4,1,False
global,0.4,500,0.03,16,1,False
global,0.4,500,0.1,0,1,False
global,0.4,500,0.1,4,1,False
global,0.4,500,0.1,16,1,False
global,0.4,500,0.3,0,1,False
global,0.4,500,0.3,4,1,False
global,0.4,500,0.3,16,1,False
global,0.4,500,1.0,0,1,False
global,0.4,500,1.0,4,1,False
global,0.4,500,1.0,16,1,False
global,0.4,1000,0.01,0,1,False
global,0.4,1000,0.01,4,1,False
global,0.4,1000,0.01,16,1,False
global,0.4,1000,0.03,0,1,False
global,0.4,1000,0.03,4,1,False
global,0.4,1000,0.03,16,1,False
global,0.4,1000,0.1,0,1,False
global,0.4,1000,0.1,4,1,False
global,0.4,1000,0.1,16,2,True
global,0.4,1000,0.3,0,1,False
global,0.4,1000,0.3,4,1,False
global,0.4,1000,0.3,16,1,False
global,0.4,1000,1.0,0,1,False
global,0.4,1000,1.0,4,1,False
global,0.4,1000,1.0,16,1,False
global,0.4,2000,0.01,0,1,False
global,0.4,2000,0.01,4,1,False
global,0.4,2000,0.01,16,1,False
global,0.4,2000,0.03,0,1,False
global,0.4,2000,0.03,4,1,False
global,0.4,2000,0.03,16,1,False
global,0.4,2000,0.1,0,1,False
global,0.4,2000,0.1,4,1,False
global,0.4,2000,0.1,16,1,False
global,0.4,2000,0.3,0,1,False
global,0.4,2000,0.3,4,1,False
global,0.4,2000,0.3,16,1,False
global,0.4,2000,1.0,0,1,False
global,0.4,2000,1.0,4,1,False
global,0.4,2000,1.0,16,1,False
global,0.4,4000,0.01,0,1,False
global,0.4,4000,0.01,4,1,False
global,0.4,4000,0.01,16,1,False
global,0.4,4000,0.03,0,1,False
global,0.4,4000,0.03,4,1,False
global,0.4,4000,0.03,16,1,False
global,0.4,4000,0.1,0,1,False
global,0.4,4000,0.1,4,1,False
global,0.4,4000,0.1,16,1,False
global,0.4,4000,0.3,0,1,False
global,0.4,4000,0.3,4,1,False
global,0.4,4000,0.3,16,1,False
global,0.4,4000,1.0,0,1,False
global,0.4,4000,1.0,4,1,False
global,0.4,4000,1.0,16,1,False
global,0.4,8000,0.01,0,1,False
global,0.4,8000,0.01,4,2,True
global,0.4,8000,0.01,16,1,False
global,0.4,8000,0.03,0,1,False
global,0.4,8000,0.03,4,2,True
global,0.4,8000,0.03,16,1,False
global,0.4,8000,0.1,0,1,False
global,0.4,8000,0.1,4,1,False
global,0.4,8000,0.1,16,1,False
global,0.4,8000,0.3,0,1,False
global,0.4,8000,0.3,4,1,False
global,0.4,8000,0.3,16,1,False
global,0.4,8000,1.0,0,1,False
global,0.4,8000,1.0,4,1,False
global,0.4,8000,1.0,16,1,False
global,0.5,250,0.01,0,1,False
global,0.5,250,0.01,4,1,False
global,0.5,250,0.01,16,1,False
global,0.5,250,0.03,0,1,False
global,0.5,250,0.03,4,1,False
global,0.5,250,0.03,16,1,False
global,0.5,250,0.1,0,1,False
global,0.5,250,0.1,4,1,False
global,0.5,250,0.1,16,1,False
global,0.5,250,0.3,0,1,False
global,0.5,250,0.3,4,1,False
global,0.5,250,0.3,16,1,False
global,0.5,250,1.0,0,1,False
global,0.5,250,1.0,4,1,False
global,0.5,250,1.0,16,1,False
global,0.5,500,0.01,0,1,False
global,0.5,500,0.01,4,1,False
global,0.5,500,0.01,16,1,False
global,0.5,500,0.03,0,1,False
global,0.5,500,0.03,4,1,False
global,0.5,500,0.03,16,1,False
global,0.5,500,0.1,0,1,False
global,0.5,500,0.1,4,1,False
global,0.5,500,0.1,16,1,False
global,0.5,500,0.3,0,1,False
global,0.5,500,0.3,4,1,False
global,0.5,500,0.3,16,1,False
global,0.5,500,1.0,0,1,False
global,0.5,500,1.0,4,1,False
global,0.5,500,1.0,16,1,False
global,0.5,1000,0.01,0,1,False
global,0.5,1000,0.01,4,1,False
global,0.5,1000,0.01,16,1,False
global,0.5,1000,0.03,0,1,False
global,0.5,1000,0.03,4,1,False
global,0.5,1000,0.03,16,1,False
global,0.5,1000,0.1,0,1,False
global,0.5,1000,0.1,4,1,False
global,0.5,1000,0.1,16,1,False
global,0.5,1000,0.3,0,1,False
global,0.5,1000,0.3,4,1,False
global,0.5,1000,0.3,16,1,False
global,0.5,1000,1.0,0,1,False
global,0.5,1000,1.0,4,1,False
global,0.5,1000,1.0,16,1,False
global,0.5,2000,0.01,0,1,False
global,0.5,2000,0.01,4,1,False
global,0.5,2000,0.01,16,1,False
global,0.5,2000,0.03,0,1,False
global,0.5,2000,0.03,4,1,False
global,0.5,2000,0.03,16,1,False
global,0.5,2000,0.1,0,1,False
global,0.5,2000,0.1,4,1,False
global,0.5,2000,0.1,16,1,False
global,0.5,2000,0.3,0,1,False
global,0.5,2000,0.3,4,1,False
global,0.5,2000,0.3,16,1,False
global,0.5,2000,1.0,0,1,False
global,0.5,2000,1.0,4,1,False
global,0.5,2000,1.0,16,1,False
global,0.5,4000,0.01,0,1,False
global,0.5,4000,0.01,4,1,False
global,0.5,4000,0.01,16,1,False
global,0.5,4000,0.03,0,1,False
global,0.5,4000,0.03,4,1,False
global,0.5,4000,0.03,16,1,False
global,0.5,4000,0.1,0,1,False
global,0.5,4000,0.1,4,2,True
global,0.5,4000,0.1,16,1,False
global,0.5,4000,0.3,0,1,False
global,0.5,4000,0.3,4,1,False
global,0.5,4000,0.3,16,1,False
global,0.5,4000,1.0,0,1,False
global,0.5,4000,1.0,4,1,False
global,0.5,4000,1.0,16,1,False
global,0.5,8000,0.01,0,1,False
global,0.5,8000,0.01,4,2,True
global,0.5,8000,0.01,16,1,False
global,0.5,8000,0.03,0,1,False
global,0.5,8000,0.03,4,1,False
global,0.5,8000,0.03,16,1,False
global,0.5,8000,0.1,0,1,False
global,0.5,8000,0.1,4,1,False
global,0.5,8000,0.1,16,1,False
global,0.5,8000,0.3,0,1,False
global,0.5,8000,0.3,4,1,False
global,0.5,8000,0.3,16,1,False
global,0.5,8000,1.0,0,1,False
global,0.5,8000,1.0,4,1,False
global,0.5,8000,1.0,16,1,False
global,0.6000000000000001,250,0.01,0,1,False
global,0.6000000000000001,250,0.01,4,1,False
global,0.6000000000000001,250,0.01,16,1,False
global,0.6000000000000001,250,0.03,0,1,False
global,0.6000000000000001,250,0.03,4,1,False
global,0.6000000000000001,250,0.03,16,1,False
global,0.6000000000000001,250,0.1,0,1,False
global,0.6000000000000001,250,0.1,4,1,False
global,0.6000000000000001,250,0.1,16,1,False
global,0.6000000000000001,250,0.3,0,1,False
global,0.6000000000000001,250,0.3,4,1,False
global,0.6000000000000001,250,0.3,16,1,False
global,0.6000000000000001,250,1.0,0,1,False
global,0.6000000000000001,250,1.0,4,1,False
global,0.6000000000000001,250,1.0,16,1,False
global,0.6000000000000001,500,0.01,0,1,False
global,0.6000000000000001,500,0.01,4,1,False
global,0.6000000000000001,500,0.01,16,1,False
global,0.6000000000000001,500,0.03,0,1,False
global,0.6000000000000001,500,0.03,4,1,False
global,0.6000000000000001,500,0.03,16,1,False
global,0.6000000000000001,500,0.1,0,1,False
global,0.6000000000000001,500,0.1,4,1,False
global,0.6000000000000001,500,0.1,16,1,False
global,0.6000000000000001,500,0.3,0,1,False
global,0.6000000000000001,500,0.3,4,1,False
global,0.6000000000000001,500,0.3,16,1,False
global,0.6000000000000001,500,1.0,0,1,False
global,0.6000000000000001,500,1.0,4,1,False
global,0.6000000000000001,500,1.0,16,1,False
global,0.6000000000000001,1000,0.01,0,1,False
global,0.6000000000000001,1000,0.01,4,1,False
global,0.6000000000000001,1000,0.01,16,1,False
global,0.6000000000000001,1000,0.03,0,1,False
global,0.6000000000000001,1000,0.03,4,1,False
global,0.6000000000000001,1000,0.03,16,1,False
global,0.6000000000000001,1000,0.1,0,1,False
global,0.6000000000000001,1000,0.1,4,1,False
global,0.6000000000000001,1000,0.1,16,1,False
global,0.6000000000000001,1000,0.3,0,1,False
global,0.6000000000000001,1000,0.3,4,1,False
global,0.6000000000000001,1000,0.3,16,1,False
global,0.6000000000000001,1000,1.0,0,1,False
global,0.6000000000000001,1000,1.0,4,1,False
global,0.6000000000000001,1000,1.0,16,1,False
global,0.6000000000000001,2000,0.01,0,1,False
global,0.6000000000000001,2000,0.01,4,1,False
global,0.6000000000000001,2000,0.01,16,1,False
global,0.6000000000000001,2000,0.03,0,1,False
global,0.6000000000000001,2000,0.03,4,1,False
global,0.6000000000000001,2000,0.03,16,1,False
global,0.6000000000000001,2000,0.1,0,1,False
global,0.6000000000000001,2000,0.1,4,1,False
global,0.6000000000000001,2000,0.1,16,1,False
global,0.6000000000000001,2000,0.3,0,1,False
global,0.6000000000000001,2000,0.3,4,1,False
global,0.6000000000000001,2000,0.3,16,1,False
global,0.6000000000000001,2000,1.0,0,1,False
global,0.6000000000000001,2000,1.0,4,1,False
global,0.6000000000000001,2000,1.0,16,1,False
global,0.6000000000000001,4000,0.01,0,1,False
global,0.6000000000000001,4000,0.01,4,1,False
global,0.6000000000000001,4000,0.01,16,1,False
global,0.6000000000000001,4000,0.03,0,1,False
global,0.6000000000000001,4000,0.03,4,1,False
global,0.6000000000000001,4000,0.03,16,1,False
global,0.6000000000000001,4000,0.1,0,2,True
global,0.6000000000000001,4000,0.1,4,1,False
global,0.6000000000000001,4000,0.1,16,2,True
global,0.6000000000000001,4000,0.3,0,1,False
global,0.6000000000000001,4000,0.3,4,1,False
global,0.6000000000000001,4000,0.3,16,1,False
global,0.6000000000000001,4000,1.0,0,1,False
global,0.6000000000000001,4000,1.0,4,1,False
global,0.6000000000000001,4000,1.0,16,1,False
global,0.6000000000000001,8000,0.01,0,1,False
global,0.6000000000000001,8000,0.01,4,1,False
global,0.6000000000000001,8000,0.01,16,1,False
global,0.6000000000000001,8000,0.03,0,1,False
global,0.6000000000000001,8000,0.03,4,1,False
global,0.6000000000000001,8000,0.03,16,2,True
global,0.6000000000000001,8000,0.1,0,1,False
global,0.6000000000000001,8000,0.1,4,1,False
global,0.6000000000000001,8000,0.1,16,1,False
global,0.6000000000000001,8000,0.3,0,1,False
global,0.6000000000000001,8000,0.3,4,1,False
global,0.6000000000000001,8000,0.3,16,1,False
global,0.6000000000000001,8000,1.0,0,1,False
global,0.6000000000000001,8000,1.0,4,1,False
global,0.6000000000000001,8000,1.0,16,1,False
global,0.7000000000000001,250,0.01,0,1,False
global,0.7000000000000001,250,0.01,4,1,False
global,0.7000000000000001,250,0.01,16,1,False
global,0.7000000000000001,250,0.03,0,1,False
global,0.7000000000000001,250,0.03,4,1,False
global,0.7000000000000001,250,0.03,16,1,False
global,0.7000000000000001,250,0.1,0,1,False
global,0.7000000000000001,250,0.1,4,1,False
global,0.7000000000000001,250,0.1,16,1,False
global,0.7000000000000001,250,0.3,0,1,False
global,0.7000000000000001,250,0.3,4,1,False
global,0.7000000000000001,250,0.3,16,1,False
global,0.7000000000000001,250,1.0,0,1,False
global,0.7000000000000001,250,1.0,4,1,False
global,0.7000000000000001,250,1.0,16,1,False
global,0.7000000000000001,500,0.01,0,1,False
global,0.7000000000000001,500,0.01,4,1,False
global,0.7000000000000001,500,0.01,16,1,False
global,0.7000000000000001,500,0.03,0,1,False
global,0.7000000000000001,500,0.03,4,1,False
global,0.7000000000000001,500,0.03,16,1,False
global,0.7000000000000001,500,0.1,0,1,False
global,0.7000000000000001,500,0.1,4,1,False
global,0.7000000000000001,500,0.1,16,1,False
global,0.7000000000000001,500,0.3,0,1,False
global,0.7000000000000001,500,0.3,4,1,False
global,0.7000000000000001,500,0.3,16,1,False
global,0.7000000000000001,500,1.0,0,1,False
global,0.7000000000000001,500,1.0,4,1,False
global,0.7000000000000001,500,1.0,16,1,False
global,0.7000000000000001,1000,0.01,0,1,False
global,0.7000000000000001,1000,0.01,4,1,False
global,0.7000000000000001,1000,0.01,16,1,False
global,0.7000000000000001,1000,0.03,0,1,False
global,0.7000000000000001,1000,0.03,4,1,False
global,0.7000000000000001,1000,0.03,16,1,False
global,0.7000000000000001,1000,0.1,0,1,False
global,0.7000000000000001,1000,0.1,4,1,False
global,0.7000000000000001,1000,0.1,16,1,False
global,0.7000000000000001,1000,0.3,0,1,False
global,0.7000000000000001,1000,0.3,4,1,False
global,0.7000000000000001,1000,0.3,16,1,False
global,0.7000000000000001,1000,1.0,0,1,False
global,0.7000000000000001,1000,1.0,4,1,False
global,0.7000000000000001,1000,1.0,16,1,False
global,0.7000000000000001,2000,0.01,0,1,False
global,0.7000000000000001,2000,0.01,4,1,False
global,0.7000000000000001,2000,0.01,16,1,False
global,0.7000000000000001,2000,0.03,0,1,False
global,0.7000000000000001,2000,0.03,4,1,False
global,0.7000000000000001,2000,0.03,16,1,False
global,0.7000000000000001,2000,0.1,0,1,False
global,0.7000000000000001,2000,0.1,4,1,False
global,0.7000000000000001,2000,0.1,16,1,False
global,0.7000000000000001,2000,0.3,0,1,False
global,0.7000000000000001,2000,0.3,4,1,False
global,0.7000000000000001,2000,0.3,16,1,False
global,0.7000000000000001,2000,1.0,0,1,False
global,0.7000000000000001,2000,1.0,4,1,False
global,0.7000000000000001,2000,1.0,16,1,False
global,0.7000000000000001,4000,0.01,0,1,False
global,0.7000000000000001,4000,0.01,4,1,False
global,0.7000000000000001,4000,0.01,16,1,False
global,0.7000000000000001,4000,0.03,0,1,False
global,0.7000000000000001,4000,0.03,4,1,False
global,0.7000000000000001,4000,0.03,16,1,False
global,0.7000000000000001,4000,0.1,0,1,False
global,0.7000000000000001,4000,0.1,4,1,False
global,0.7000000000000001,4000,0.1,16,2,True
global,0.7000000000000001,4000,0.3,0,1,False
global,0.7000000000000001,4000,0.3,4,1,False
global,0.7000000000000001,4000,0.3,16,1,False
global,0.7000000000000001,4000,1.0,0,1,False
global,0.7000000000000001,4000,1.0,4,1,False
global,0.7000000000000001,4000,1.0,16,1,False
global,0.7000000000000001,8000,0.01,0,1,False
global,0.7000000000000001,8000,0.01,4,1,False
global,0.7000000000000001,8000,0.01,16,2,True
global,0.7000000000000001,8000,0.03,0,1,False
global,0.7000000000000001,8000,0.03,4,1,False
global,0.7000000000000001,8000,0.03,16,2,True
global,0.7000000000000001,8000,0.1,0,1,False
global,0.7000000000000001,8000,0.1,4,1,False
global,0.7000000000000001,8000,0.1,16,1,False
global,0.7000000000000001,8000,0.3,0,1,False
global,0.7000000000000001,8000,0.3,4,1,False
global,0.7000000000000001,8000,0.3,16,1,False
global,0.7000000000000001,8000,1.0,0,1,False
global,0.7000000000000001,8000,1.0,4,1,False
global,0.7000000000000001,8000,1.0,16,1,False
global,0.8,250,0.01,0,1,False
global,0.8,250,0.01,4,1,False
global,0.8,250,0.01,16,1,False
global,0.8,250,0.03,0,1,False
global,0.8,250,0.03,4,1,False
global,0.8,250,0.03,16,1,False
global,0.8,250,0.1,0,1,False
global,0.8,250,0.1,4,1,False
global,0.8,250,0.1,16,1,False
global,0.8,250,0.3,0,1,False
global,0.8,250,0.3,4,1,False
global,0.8,250,0.3,16,1,False
global,0.8,250,1.0,0,1,False
global,0.8,250,1.0,4,1,False
global,0.8,250,1.0,16,1,False
global,0.8,500,0.01,0,1,False
global,0.8,500,0.01,4,1,False
global,0.8,500,0.01,16,1,False
global,0.8,500,0.03,0,1,False
global,0.8,500,0.03,4,1,False
global,0.8,500,0.03,16,1,False
global,0.8,500,0.1,0,1,False
global,0.8,500,0.1,4,1,False
global,0.8,500,0.1,16,1,False
global,0.8,500,0.3,0,1,False
global,0.8,500,0.3,4,1,False
global,0.8,500,0.3,16,1,False
global,0.8,500,1.0,0,1,False
global,0.8,500,1.0,4,1,False
global,0.8,500,1.0,16,1,False
global,0.8,1000,0.01,0,1,False
global,0.8,1000,0.01,4,1,False
global,0.8,1000,0.01,16,1,False
global,0.8,1000,0.03,0,1,False
global,0.8,1000,0.03,4,1,False
global,0.8,1000,0.03,16,1,False
global,0.8,1000,0.1,0,1,False
global,0.8,1000,0.1,4,1,False
global,0.8,1000,0.1,16,1,False
global,0.8,1000,0.3,0,1,False
global,0.8,1000,0.3,4,1,False
global,0.8,1000,0.3,16,1,False
global,0.8,1000,1.0,0,1,False
global,0.8,1000,1.0,4,1,False
global,0.8,1000,1.0,16,1,False
global,0.8,2000,0.01,0,1,False
global,0.8,2000,0.01,4,1,False
global,0.8,2000,0.01,16,1,False
global,0.8,2000,0.03,0,1,False
global,0.8,2000,0.03,4,1,False
global,0.8,2000,0.03,16,1,False
global,0.8,2000,0.1,0,1,False
global,0.8,2000,0.1,4,1,False
global,0.8,2000,0.1,16,1,False
global,0.8,2000,0.3,0,1,False
global,0.8,2000,0.3,4,1,False
global,0.8,2000,0.3,16,1,False
global,0.8,2000,1.0,0,1,False
global,0.8,2000,1.0,4,1,False
global,0.8,2000,1.0,16,1,False
global,0.8,4000,0.01,0,1,False
global,0.8,4000,0.01,4,1,False
global,0.8,4000,0.01,16,1,False
global,0.8,4000,0.03,0,1,False
global,0.8,4000,0.03,4,1,False
global,0.8,4000,0.03,16,1,False
global,0.8,4000,0.1,0,1,False
global,0.8,4000,0.1,4,1,False
global,0.8,4000,0.1,16,1,False
global,0.8,4000,0.3,0,1,False
global,0.8,4000,0.3,4,1,False
global,0.8,4000,0.3,16,1,False
global,0.8,4000,1.0,0,1,False
global,0.8,4000,1.0,4,1,False
global,0.8,4000,1.0,16,1,False
global,0.8,8000,0.01,0,1,False
global,0.8,8000,0.01,4,1,False
global,0.8,8000,0.01,16,2,True
global,0.8,8000,0.03,0,1,False
global,0.8,8000,0.03,4,1,False
global,0.8,8000,0.03,16,2,True
global,0.8,8000,0.1,0,1,False
global,0.8,8000,0.1,4,1,False
global,0.8,8000,0.1,16,1,False
global,0.8,8000,0.3,0,1,False
global,0.8,8000,0.3,4,1,False
global,0.8,8000,0.3,16,1,False
global,0.8,8000,1.0,0,1,False
global,0.8,8000,1.0,4,1,False
global,0.8,8000,1.0,16,1,False
